"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F11S01C03","Q110","F11S01","F11","Jujubee","Boston, Massachusetts","28","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a7/JujubeeAS1CastMug.png"
"F11S01C04","Q139","F11S01","F11","Latrice Royale","Miami Beach, Florida","40","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a4/LatriceRoyaleAS1CastMug.png"
"F11S01C05","Q125","F11S01","F11","Manila Luzon","New York City, New York","27","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2d/ManilaLuzonAS1CastMug.png"
"F11S01C06","Q127","F11S01","F11","Mimi Imfurst","New York City, New York","29","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f5/MimiImfurstAS1CastMug.png"
"F11S01C07","Q103","F11S01","F11","Nina Flowers","Denver, Colorado","38","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/27/NinaFlowersAS1CastMug.png"
"F11S01C08","Q115","F11S01","F11","Pandora Boxx","Los Angeles, California","39","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/37/PandoraBoxxAS1CastMug.png"
"F11S01C09","Q116","F11S01","F11","Raven","Riverside, California","33","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/48/RavenAS1CastMug.png"
"F11S01C10","Q106","F11S01","F11","Shannel","Long Beach, California","32","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/af/ShannelAS1CastMug.png"
"F11S01C11","Q107","F11S01","F11","Tammie Brown","Long Beach, California","31","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/bf/TammieBrownAS1CastMug.png"
"F11S01C12","Q132","F11S01","F11","Yara Sofia","Los Angeles, California","28","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b6/YaraSofiaAS1CastMug.png"
"F11S02C01","Q160","F11S02","F11","Adore Delano","Azusa, California","25","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fc/AdoreDelanoAS2CastMug.jpg"
"F11S02C02","Q146","F11S02","F11","Alaska","Los Angeles, California","30","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2e/AlaskaAS2CastMug.jpg"
"F11S02C03","Q147","F11S02","F11","Alyssa Edwards","Dallas, Texas","35","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/15/AlyssaEdwardsAS2CastMug.jpg"
"F11S02C04","Q148","F11S02","F11","Coco Montrese","Las Vegas, Nevada","41","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f8/CocoMontreseAS2CastMug.jpg"
"F11S02C05","Q149","F11S02","F11","Detox","Los Angeles, California","30","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d8/DetoxAS2CastMug.jpg"
"F11S02C06","Q174","F11S02","F11","Ginger Minj","Orlando, Florida","31","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/89/GingerMinjAS2CastMug.jpg"
"F11S02C07","Q178","F11S02","F11","Katya","Boston, Massachusetts","33","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d0/KatyaAS2CastMug.jpg"
"F11S02C08","Q142","F11S02","F11","Phi Phi O'Hara","New York City, New York","29","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/69/PhiPhiO%27HaraAS2CastMug.jpg"
"F11S02C09","Q157","F11S02","F11","Roxxxy Andrews","Orlando, Florida","31","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5b/RoxxxyAndrewsAS2CastMug.jpg"
"F11S02C10","Q119","F11S02","F11","Tatianna","Washington, D.C.","27","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/TatiannaAS2CastMug.jpg"
"F11S03C01","Q200","F11S03","F11","Aja","New York City, New York","23","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4e/AjaAS3CastMug.png"
"F11S03C02","Q101","F11S03","F11","BeBe Zahara Benet","Minneapolis, Minnesota","36","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/93/BeBeZaharaBenetAS3CastMug.png"
"F11S03C03","Q162","F11S03","F11","BenDeLaCreme","Seattle, Washington","35","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f5/BenDeLaCremeAS3CastMug.png"
"F11S03C04","Q190","F11S03","F11","Chi Chi DeVayne","Shreveport, Louisiana","32","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3b/ChiChiDeVayneAS3CastMug.png"
"F11S03C05","Q179","F11S03","F11","Kennedy Davenport","Dallas, Texas","35","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/33/KennedyDavenportAS3CastMug.png"
"F11S03C06","Q171","F11S03","F11","Milk","New York City, New York","29","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d0/MilkAS3CastMug.png"
"F11S03C07","Q112","F11S03","F11","Morgan McMichaels","Los Angeles, California","36","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/47/MorganMcMichaelsAS3CastMug.png"
"F11S03C08","Q118","F11S03","F11","Shangela","Los Angeles, California","35","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8c/ShangelaAS3CastMug.png"
"F11S03C09","Q199","F11S03","F11","Thorgy Thor","New York City, New York","33","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/ce/ThorgyThorAS3CastMug.png"
"F11S03C10","Q186","F11S03","F11","Trixie Mattel","Los Angeles, California","28","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/40/TrixieMattelAS3CastMug.png"
"F11S04C01","Q204","F11S04","F11","Farrah Moan","Los Angeles, California","24","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f8/FarrahMoanAS4CastMug.jpg"
"F11S04C02","Q166","F11S04","F11","Gia Gunn","Los Angeles, California","28","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e3/GiaGunnAS4CastMug.jpg"
"F11S04C03","Q176","F11S04","F11","Jasmine Masters","Los Angeles, California","41","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/10/JasmineMastersAS4CastMug.jpg"
"F11S04C04","Q139","F11S04","F11","Latrice Royale","Miami Beach, Florida","46","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e3/LatriceRoyaleAS4CastMug.jpg"
"F11S04C05","Q125","F11S04","F11","Manila Luzon","Los Angeles, California","36","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c3/ManilaLuzonAS4CastMug.jpg"
"F11S04C06","Q232","F11S04","F11","Monét X Change","New York City, New York","28","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/51/Mon%C3%A9tXChangeAS4CastMug.jpg"
"F11S04C07","Q231","F11S04","F11","Monique Heart","Kansas City, Missouri","32","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ea/MoniqueHeartAS4CastMug.jpg"
"F11S04C08","Q196","F11S04","F11","Naomi Smalls","Chicago, Illinois","24","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/28/NaomiSmallsAS4CastMug.jpg"
"F11S04C09","Q211","F11S04","F11","Trinity the Tuck","Orlando, Florida","33","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a5/TrinityTheTuckAS4CastMug.jpg"
