id,name,original_season_id,link_image
Q175,Jaidynn Diore Fierce,F10S07,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/50/JaidynnDioreFierceS7CastMug.png
Q255,Marie Laveau,F12S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/50/MarieLaveauTSDR2CastMug.png
Q222,Jaymes Mansfield,F10S09,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/53/JaymesMansfieldS9CastMug.jpg
Q130,Stacy Layne Matthews,F10S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/53/StacyLayneMatthewsS3CastMug.jpeg
Q204,Yume Hime,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/53/YumeHimeTSDR1CastMug.png
Q188,Álvaro Lynch,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/%C3%81lvaroLynchTSDR1CastMug.png
Q403,Icesis Couture,F15S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/IcesisCoutureCDR2CastMug.jpg
Q169,Laganja Estranja,F10S06,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/LaganjaEstranjaS6CastMug.png
Q442,Onyx,F18S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/OnyxDRE2CastMug.jpg
Q421,Bosco,F10S14,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/56/BoscoS14CastMug.jpg
Q302,Heidi N Closet,F10S12,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/56/HeidiNClosetS12CastMug.png
Q102,Jade,F10S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/57/JadeSotomayorS1CastMug.png
Q378,Ivy-Elyse,F16S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/58/Ivy-ElyseDRH2CastMug.png
Q385,The Countess,F16S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/59/TheCountessDRH2CastMug.png
Q357,Veronica Green,F14S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/59/VeronicaGreenDRUK2CastMug.jpg
Q413,Elecktra Bionic,F19S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5a/ElecktraBionicDRI1CastMug.jpg
Q211,Kim Chi,F10S08,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5b/KimChiS8CastMug.jpg
Q108,"Victoria ""Porkchop"" Parker",F10S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5c/VictoriaParkerS1CastMug.png
Q420,Angeria Paris VanMicheals,F10S14,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5e/AngeriaParisVanMichealsS14CastMug.jpg
Q285,Silky Nutmeg Ganache,F10S11,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5e/SilkyNutmegGanacheS11CastMug.jpg
Q306,Nicky Doll,F10S12,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5f/NickyDollS12CastMug.png
Q370,Dovima Nurmi,F18S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/60/DovimaNurmiDRE1CastMug.jpeg
Q376,Sagittaria,F18S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/60/SagittariaDRE1CastMug.jpeg
Q388,Anubis,F14S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/61/AnubisDRUK3CastMug.jpg
Q165,Darienne Lake,F10S06,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/61/DarienneLakeS6CastMug.png
Q252,Yuhua Hamasaki,F10S10,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/62/YuhuaHamasakiS10CastMug.jpg
Q338,Kandy Muse,F10S13,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/63/KandyMuseS13CastMug.jpg
Q354,Sister Sister,F14S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/63/SisterSisterDRUK2CastMug.jpg
Q119,Tatianna,F10S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/63/TatiannaS2CastMug.png
Q290,Cheryl Hole,F14S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/64/CherylHoleDRUK1CastMug.jpg
Q396,Scarlett Harlett,F14S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/64/ScarlettHarlettDRUK3CastMug.jpg
Q122,Carmen Carrera,F10S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/66/CarmenCarreraS3CastMug.jpeg
Q127,Mimi Imfurst,F10S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/66/MimiImfurstS3CastMug.jpeg
Q192,Fernanda Brown,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/67/FernandaBrownTSDR1CastMug.png
Q133,Alisa Summers,F10S04,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/68/AlisaSummersS4CastMug.png
Q116,Raven,F10S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/68/RavenS2CastMug.png
Q422,Daya Betty,F10S14,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/69/DayaBettyS14CastMug.jpg
Q365,Kita Mean,F17S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/69/KitaMeanDRDU1CastMug.jpg
Q300,Dahlia Sin,F10S12,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6a/DahliaSinS12CastMug.png
Q245,Kameron Michaels,F10S10,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6a/KameronMichaelsS10CastMug.jpg
Q358,Anita Wigl'it,F17S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/AnitaWigl%27itDRDU1CastMug.jpg
Q220,Eureka,F10S09,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/EurekaS9CastMug.jpg
Q313,Ilona Verley,F15S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/IlonaVerleyCDR1CastMug.jpg
Q352,Joe Black,F14S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/JoeBlackDRUK2CastMug.jpg
Q151,Ivy Winters,F10S05,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6c/IvyWintersS5CastMug.jpg
